--------------------------------------------------------------------------------"
"********Log file Created at:Date:2022_02_15 Time:01:14:26 PM*********"
"--------------------------------------------------------------------------------"
"{'pid': 1753, 'username': 'ashwini', 'name': 'gnome-shell-calendar-server', 'vms': 639.99609375}"
"{'pid': 1760, 'username': 'ashwini', 'name': 'evolution-source-registry', 'vms': 1057.33203125}"
"{'pid': 1768, 'username': 'ashwini', 'name': 'dconf-service', 'vms': 152.78125}"
"{'pid': 1771, 'username': 'ashwini', 'name': 'gvfsd-metadata', 'vms': 167.66796875}"
"{'pid': 1778, 'username': 'ashwini', 'name': 'evolution-calendar-factory', 'vms': 1431.015625}"
"{'pid': 1795, 'username': 'ashwini', 'name': 'evolution-addressbook-factory', 'vms': 746.12109375}"
"{'pid': 1811, 'username': 'ashwini', 'name': 'gjs', 'vms': 2606.26171875}"
"{'pid': 1819, 'username': 'ashwini', 'name': 'gvfsd-trash', 'vms': 318.79296875}"
"{'pid': 1828, 'username': 'ashwini', 'name': 'gsd-a11y-settings', 'vms': 315.01171875}"
"{'pid': 1829, 'username': 'ashwini', 'name': 'gsd-color', 'vms': 431.61328125}"
"{'pid': 1833, 'username': 'ashwini', 'name': 'gsd-datetime', 'vms': 374.046875}"
"{'pid': 1834, 'username': 'ashwini', 'name': 'gsd-housekeeping', 'vms': 315.49609375}"
"{'pid': 1836, 'username': 'ashwini', 'name': 'gsd-keyboard', 'vms': 348.6171875}"
"{'pid': 1842, 'username': 'ashwini', 'name': 'gsd-media-keys', 'vms': 754.79296875}"
"{'pid': 1843, 'username': 'ashwini', 'name': 'gsd-power', 'vms': 609.578125}"
"{'pid': 1844, 'username': 'ashwini', 'name': 'gsd-print-notifications', 'vms': 250.8359375}"
"{'pid': 1849, 'username': 'ashwini', 'name': 'gsd-rfkill', 'vms': 454.81640625}"
"{'pid': 1850, 'username': 'ashwini', 'name': 'gsd-screensaver-proxy', 'vms': 238.41796875}"
"{'pid': 1852, 'username': 'ashwini', 'name': 'gsd-sharing', 'vms': 466.55859375}"
"{'pid': 1856, 'username': 'ashwini', 'name': 'gsd-smartcard', 'vms': 319.078125}"
"{'pid': 1866, 'username': 'ashwini', 'name': 'gsd-sound', 'vms': 322.6953125}"
"{'pid': 1868, 'username': 'ashwini', 'name': 'gsd-usb-protection', 'vms': 387.25390625}"
"{'pid': 1870, 'username': 'ashwini', 'name': 'gsd-wacom', 'vms': 348.14453125}"
"{'pid': 1871, 'username': 'ashwini', 'name': 'gsd-wwan', 'vms': 319.265625}"
"{'pid': 1874, 'username': 'ashwini', 'name': 'gsd-xsettings', 'vms': 349.40234375}"
"{'pid': 1880, 'username': 'ashwini', 'name': 'evolution-alarm-notify', 'vms': 791.21875}"
"{'pid': 1904, 'username': 'ashwini', 'name': 'gsd-disk-utility-notify', 'vms': 226.3671875}"
"{'pid': 1937, 'username': 'ashwini', 'name': 'ibus-engine-simple', 'vms': 171.07421875}"
"{'pid': 1944, 'username': 'ashwini', 'name': 'gsd-printer', 'vms': 342.59765625}"
